month,category,value
2023-05-01,Humanitarian Aid Allocated,11.99025197
2023-06-01,Humanitarian Aid Allocated,12.41887296
2023-07-01,Humanitarian Aid Allocated,13.46092114
2023-08-01,Humanitarian Aid Allocated,13.46873439
2023-09-01,Humanitarian Aid Allocated,13.72836947
2023-10-01,Humanitarian Aid Allocated,13.8650295
2023-11-01,Humanitarian Aid Allocated,14.02619371
2023-12-01,Humanitarian Aid Allocated,14.80259048
2024-01-01,Humanitarian Aid Allocated,14.92586898
2024-02-01,Humanitarian Aid Allocated,15.52596261
2024-03-01,Humanitarian Aid Allocated,15.65158334
2024-04-01,Humanitarian Aid Allocated,15.81060261
2024-05-01,Humanitarian Aid Allocated,15.99426252
2024-06-01,Humanitarian Aid Allocated,17.15373832
2024-07-01,Humanitarian Aid Allocated,17.29100429
2024-08-01,Humanitarian Aid Allocated,17.3492442
2024-09-01,Humanitarian Aid Allocated,18.24331242
2024-10-01,Humanitarian Aid Allocated,19.01030258
2024-11-01,Humanitarian Aid Allocated,19.26246608
2024-12-01,Humanitarian Aid Allocated,19.61718476
2025-01-01,Humanitarian Aid Allocated,20.2106736
2025-02-01,Humanitarian Aid Allocated,20.56273813
2025-03-01,Humanitarian Aid Allocated,20.79377371
2025-04-01,Humanitarian Aid Allocated,21.03037359
2025-05-01,Humanitarian Aid Allocated,21.10725764
2025-06-01,Humanitarian Aid Allocated,21.36644422
2025-07-01,Humanitarian Aid Allocated,21.92519524
2025-08-01,Humanitarian Aid Allocated,22.20684836
2025-09-01,Humanitarian Aid Allocated,22.6199273
2025-10-01,Humanitarian Aid Allocated,22.90511452
2025-11-01,Humanitarian Aid Allocated,23.2116381
2025-12-01,Humanitarian Aid Allocated,23.82204134
2026-01-01,Humanitarian Aid Allocated,24.46640138
2026-02-01,Humanitarian Aid Allocated,25.13861812
